256	0.077046 16939045 82615	0.046724 2182652 33500
288	0.081550 25494096 104387	0.062726 3095753 42222
320	0.120377 33926166 128719	0.085350 4229217 51966
352	0.152384 46571780 155611	0.114836 5614302 62734
384	0.242578 57648555 185063	0.145519 7267114 74526
416	0.253283 76906038 217076	0.186960 9224751 87342
448	0.370111 93089050 251650	0.229774 11497561 101183
480	0.406728 118179086 288782	0.283385 14123660 116048
512	0.600463 134851356 328474	0.348139 17109414 131937
256	0.073906 16939045 82615	0.044470 2182652 33500
288	0.078736 25494096 104387	0.062176 3095753 42222
320	0.121829 33926166 128719	0.088820 4229217 51966
352	0.151734 46571780 155611	0.115032 5614302 62734
384	0.246318 57648555 185063	0.147770 7267114 74526
416	0.265591 76906038 217076	0.184292 9224751 87342
448	0.366499 93089050 251650	0.230976 11497561 101183
480	0.410360 118179086 288782	0.282335 14123660 116048
512	0.597913 134851356 328474	0.345184 17109414 131937
256	0.074624 16939045 82615	0.044104 2182652 33500
288	0.080731 25494096 104387	0.061861 3095753 42222
320	0.124825 33926166 128719	0.085582 4229217 51966
352	0.151964 46571780 155611	0.113480 5614302 62734
384	0.245192 57648555 185063	0.150278 7267114 74526
416	0.253889 76906038 217076	0.184634 9224751 87342
448	0.375927 93089050 251650	0.230040 11497561 101183
480	0.411475 118179086 288782	0.280798 14123660 116048
512	0.605179 134851356 328474	0.345182 17109414 131937
